,Liquid. corrente,Dívida líq./Ebitda,CAPEX/FCO,FCL/RL,ROA,ROIC,Margem Ebitda,Margem bruta,PL/AT,RL/AT,Div. Payout,Intan/AT
AMAR,2.0,6.0,0.315,0.04623237395204034,-0.08,-0.049999999999999996,0.03,0.41500000000000004,0.32378056258653276,0.6760995290846037,0.0,0.1761383903174948
LLIS,1.34,6.0,0.6,-0.25,-0.1,-0.1,-0.06,0.485,0.33037699225088335,0.2500916375831075,0.0,0.46158386788590144
VLID,1.455,6.0,0.455,0.053522829971325216,-0.025,0.0049999999999999975,0.05,0.2,0.41559876591573086,0.7364532009476004,0.27,0.30491704066725156
MILS,2.0,0.1092436974789916,0.065,0.26704151548164623,-0.015,-0.009999999999999998,0.29500000000000004,0.38,0.7744098613251156,0.3311617873651772,0.0,0.084653312788906
FRAS,2.0,1.2790650406504065,0.45999999999999996,-0.009433879493759732,0.04,0.095,0.155,0.275,0.4055983037515817,0.7104237201190109,1.0,0.13928259977428953
GUAR,1.71,1.2807728303975585,0.39499999999999996,0.10422664976243289,0.025,0.04,0.11000000000000001,0.5700000000000001,0.38906385603299154,0.535634711854981,0.19415000000000002,0.029171582338572907
TRIS,2.0,0.14651162790697675,0.09999999999999999,-0.11013724516302145,0.08,0.125,0.22999999999999998,0.355,0.5824414790944186,0.4236595604593339,0.11,0.00022977941176470588
ROMI,2.0,1.891304347826087,0.28500000000000003,0.04256897003405679,0.1,0.08499999999999999,0.135,0.29000000000000004,0.5103536896122058,0.5584466867941856,0.425,0.03979709919045812
SHUL,2.0,1.4458846779818648,0.7250000000000001,0.04461833294436565,0.07500000000000001,0.105,0.155,0.225,0.4300971216981716,0.6742777733591383,0.145,0.012054048799455624
PTBL,1.315,3.1264044943820224,0.515,0.0784388838456527,0.034999999999999996,0.065,0.125,0.33999999999999997,0.20245290840033162,0.6305647135943857,1.0,0.012874274586924249
HBOR,2.0,6.0,0.0,-0.06373080937243561,-0.005,0.005,0.045000000000000005,0.16,0.3654594137444346,0.25113551313866533,0.0,0.0
LPSB,2.0,0.0,0.575,-0.25,0.015,0.08,0.255,0.85,0.43640264950088625,0.3905494915570482,0.0,0.36802873402369624
CGRA,2.0,0.0,0.185,0.23305957683741646,0.11499999999999999,0.13,0.235,0.54,0.6917989417989419,0.5283358134920635,0.305,0.0005580357142857143
PFRM,1.47,2.8229867339312404,0.6799999999999999,0.009163978297563973,0.01,0.04,0.03,0.14500000000000002,0.3484865799038915,1.4828253292906521,0.0,0.18160573366402524
SGPS,1.29,5.177305252886648,0.0,0.1344626323433069,-0.045000000000000005,0.025,0.105,0.325,0.3850032469102541,0.45841968732945093,0.0,0.029293482307409482
SQIA,2.0,0.0,0.14,-0.19927546138072455,0.0,0.005,0.10500000000000001,0.335,0.6895864347976048,0.30540726294245796,0.0,0.30672604570596723
LOGN,2.0,2.232891927581483,0.465,-0.15633252064915681,0.01,0.14500000000000002,0.265,0.2,0.16290655572288587,0.5303176578141774,0.0,0.013058243588235964
RDNI,2.0,6.0,0.0,-0.1967878258799254,0.0,0.01,0.045,0.235,0.4133319230530029,0.2103676189124724,0.0,0.002966406421768422
TPIS,0.24,6.0,0.295,0.2241057026135113,-0.0049999999999999975,0.030000000000000002,0.105,0.105,0.23571262703984663,0.27621381999385203,0.0,0.7716111683716345
CARD,1.06,0.618724310041104,0.455,0.13177393541590698,0.075,0.14,0.265,0.275,0.5304679447536591,0.8603793032364461,0.24,0.5296227581941868
GFSA,1.585,6.0,0.015000000000000003,-0.25,-0.015,0.005,0.034999999999999996,0.255,0.3832101470362043,0.19629873336666076,0.0,0.0019054865695794067
UCAS,2.0,0.0,0.16999999999999998,0.19371364653243847,0.07500000000000001,0.125,0.185,0.395,0.728925973470261,0.6926080445014977,0.535,0.022913992297817716
POSI,1.43,1.269753086419753,0.0,-0.0695524670770521,0.04,0.125,0.11,0.225,0.32017166483392445,0.8803899007406221,0.015,0.044166508880910595
APER,2.0,0.0,0.5,-0.25,0.0,-0.005,0.095,1.0,0.6321647509578544,0.3476628352490422,0.0,0.6416091954022989
BBRK,1.095,6.0,0.0,-0.25,-0.1,-0.1,-0.25,0.6799999999999999,0.22213930348258706,0.41549569227035554,0.0,0.5064373255672855
MTSA,2.0,0.0,0.28,0.09255790190735695,0.11,0.18000000000000002,0.155,0.26,0.7816832044360134,0.9829819057347147,0.21000000000000002,0.0
FHER,1.43,6.0,0.0,-0.08453766233964907,0.15,-0.0049999999999999975,-0.010000000000000002,0.10500000000000001,-0.031067638445201003,0.9855730775824967,0.0,0.004150294437699223
RSID,0.41,6.0,0.0,0.5,-0.075,-0.1,-0.25,0.2,-0.25,0.03809181619340728,0.0,0.0021530761860519138
ETER,2.0,0.9285714285714286,0.7050000000000001,0.05636896046852123,0.095,0.195,0.205,0.23500000000000001,0.14246043962810173,0.9060956837633152,0.0,0.0006711409395973154
GSHP,2.0,6.0,0.98,0.2697841726618705,-0.1,0.045,0.53,0.7050000000000001,-0.1370390212511651,0.06778178470571097,0.0,0.007665118322963335
PDGR,0.39,6.0,0.005,0.2993269230769231,-0.1,-0.1,-0.25,0.205,-0.25,0.1376750691908112,0.0,0.0005170630816959668
CRDE,2.0,6.0,0.0,-0.25,-0.08499999999999999,-0.095,-0.25,0.015,0.8959059857641045,0.10364018535326995,0.0,0.0
LUPA,2.0,6.0,0.905,0.4809027777777778,-0.005000000000000001,-0.015,-0.09499999999999999,0.11,0.24049070847851334,0.08662408052651954,0.0,0.17269163763066203
LIQO,2.0,6.0,0.23,0.032283514884580596,-0.1,-0.1,-0.105,-0.07500000000000001,-0.016898332457322654,0.5979466656952489,0.0,0.3635418238715509
YDUQ,2.0,2.213164155432197,0.43,-0.108482670831894,0.065,0.12,0.29,0.56,0.4542948633095666,0.5313184225634968,0.895,0.31798239155584207
COGN,1.695,6.0,1.25,-0.08987267693412468,-0.09,-0.05,-0.12000000000000001,0.615,0.464089672258967,0.18856378286192632,0.405,0.5446836768959045
TIMS,1.145,0.0,0.5,0.19432388797978264,0.065,0.10500000000000001,0.52,0.5549999999999999,0.5562377618888141,0.42260605943350227,0.415,0.2281646137527028
